char1,char2,fwinner,stage,sid
Joker,Peach,Joker,Final Destination,1
Joker,Peach,Joker,Town & City,1
Joker,Peach,Joker,Town & City,1
Joker,Peach,Peach,Final Destination,2
Joker,Peach,Joker,Battlefield,2
Joker,Peach,Peach,Town & City,2
Joker,Peach,Joker,Battlefield,2
Joker,Peach,Joker,Final Destination,2
Pokemon Trainer,Peach,Peach,Pokemon Stadium 2,3
Pokemon Trainer,Peach,Peach,Lylat Cruise,3
Young Link,Peach,Peach,Pokemon Stadium 2,3
Pokemon Trainer,Zero Suit Samus,Pokemon Trainer,Town & City,4
Pokemon Trainer,Captain Falcon,Pokemon Trainer,Yoshi's Story,4
Pokemon Trainer,Captain Falcon,Pokemon Trainer,Yoshi's Story,4
Joker,Peach,Peach,Pokemon Stadium 2,5
Joker,Peach,Joker,Smashville,5
Joker,Peach,Joker,Town & City,5
Joker,Peach,Peach,Town & City,5
Joker,Peach,Peach,Pokemon Stadium 2,5
Lucina,Pichu,Lucina,Pokemon Stadium 2,6
Lucina,Pichu,Pichu,Town & City,6
Lucina,Pichu,Lucina,Smashville,6
Lucina,Pichu,Lucina,Kalos,6
Lucina,Pichu,Lucina,Pokemon Stadium 2,7
Lucina,Pichu,Pichu,Town & City,7
Lucina,Pichu,Lucina,Smashville,7
Lucina,Pichu,Lucina,Smashville,7
Peach,Pichu,Pichu,Pokemon Stadium 2,8
Peach,Pichu,Pichu,Pokemon Stadium 2,8
Peach,Pichu,Peach,Final Destination,8
Peach,Pichu,Pichu,Final Destination,8
Wolf,Pichu,Wolf,Pokemon Stadium 2,9
Wolf,Pichu,Pichu,Final Destination,9
Wolf,Pichu,Pichu,Kalos,9
Wolf,Pichu,Wolf,Smashville,9
Wolf,Pichu,Pichu,Town & City,9
Ike,Peach,Peach,Battlefield,10
Ike,Peach,Ike,Pokemon Stadium 2,10
Ike,Peach,Ike,Yoshi's Story,10
Ike,Peach,Peach,Unova,10
Ike,Peach,Peach,Town & City,10
Joker,Peach,Joker,Pokemon Stadium,11
Joker,Palutena,Joker,Pokemon Stadium,11
Joker,Peach,Joker,Pokemon Stadium,11
Joker,Snake,Joker,Smashville,12
Joker,Snake,Joker,Town & City,12
Joker,Snake,Snake,Town & City,12
Joker,Snake,Joker,Battlefield,12
Pichu,Snake,Snake,Pokemon Stadium,13
Pichu,Snake,Snake,Town & City,13
Joker,Snake,Joker,Town & City,13
Joker,Snake,Snake,Pokemon Stadium,13
Joker,Zero Suit Samus,Joker,Pokemon Stadium,14
Joker,Zero Suit Samus,Zero Suit Samus,Battlefield,14
Joker,Zero Suit Samus,Joker,Smashville,14
Joker,Zero Suit Samus,Joker,Unova,14
Lucina,Wario,Wario,Pokemon Stadium 2,15
Lucina,Wario,Wario,Town & City,15
Lucina,Wario,Wario,Town & City,15
Ike,Donkey Kong,Ike,Pokemon Stadium 2,16
Ike,Wario,Ike,Smashville,16
Ike,Wario,Wario,Smashville,16
Ike,Wario,Wario,Yoshi's Story,16
Lucina,Wario,Wario,Pokemon Stadium 2,16
Ike,Olimar,Ike,Pokemon Stadium 2,17
Ike,Olimar,Ike,Pokemon Stadium 2,17
Ike,Olimar,Olimar,Pokemon Stadium 2,17
Ike,Olimar,Ike,Smashville,17
Inkling,Wario,Inkling,Pokemon Stadium 2,18
Inkling,Wolf,Wolf,Pokemon Stadium 2,18
Inkling,Wolf,Wolf,Town & City,18
Inkling,Wolf,Inkling,Town & City,18
Inkling,Wario,Wario,Pokemon Stadium 2,18
Rob,Rosalina & Luma,Rosalina & Luma,Final Destination,19
Rob,Rosalina & Luma,Rob,Yoshi's Story,19
Rob,Rosalina & Luma,Rob,Town & City,19
Rob,Rosalina & Luma,Rob,Battlefield,19
Wolf,Olimar,Wolf,Pokemon Stadium 2,20
Wolf,Olimar,Wolf,Town & City,20
Wolf,Olimar,Wolf,Kalos,20
Mr. Game & Watch,Olimar,Olimar,Final Destination,21
Mr. Game & Watch,Olimar,Olimar,Town & City,21
Mr. Game & Watch,Olimar,Mr. Game & Watch,Battlefield,21
Mr. Game & Watch,Olimar,Mr. Game & Watch,Town & City,21
Mr. Game & Watch,Olimar,Olimar,Pokemon Stadium 2,21
Palutena,Olimar,Olimar,Pokemon Stadium 2,22
Wolf,Olimar,Wolf,Battlefield,22
Wolf,Olimar,Wolf,Town & City,22
Wolf,Olimar,Olimar,Battlefield,22
Palutena,Olimar,Olimar,Battlefield,22
Corrin,Mr. Game & Watch,Mr. Game & Watch,Final Destination,23
Corrin,Mr. Game & Watch,Mr. Game & Watch,Yoshi's Story,23
Joker,Mr. Game & Watch,Mr. Game & Watch,Yoshi's Story,23
