pname,main,pstate
Ally,Snake,Canada
Cosmos,Inkling,Ohio
Dabuz,Olimar,New York
Maister,Mr. Game & Watch,Mexico
Marss,Zero Suit Samus,Rhode Island
MkLeo,Joker,Mexico
Myran,Olimar,Florida
Nairo,Palutena,New Jersey
Samsora,Peach,Florida
Tweek,Wario,New Jersey
VoiD,Sheik,California
zackray,Rob,Japan
Lui$,Fox,California
Light,Fox,Connecticut
ESAM,Pikachu,Florida
Shuton,Olimar,Japan
MVD,Snake,Florida
RFang,Pichu,South Carolina
Jakal,Wolf,New Jersey
Blacktwins13,Pichu,Canada
LeoN,Bowser,New Jersey
Dark Wizzy,Mario,New York
Raffi-X,Rob,Massachusetts
Glutonny,Wario,France
Kameme,Mega Man,Japan
Tea,Pac-Man,Japan
ProtoBanham,Lucina,Japan
WaDi,Rob,Virginia
Gackt,Ness,Japan
Salem,Hero,Florida
Elegant,Luigi,California
Pandarian,Pokemon Trainer,Washington
Nicko,Shulk,California
Ned,Pokemon Trainer,Illinois
ScAtt,Fox,Georgia
BestNess,Ness,Utah
Goblin,Roy,Florida
Leffen,Pokemon Trainer,Sweden
Riddles,Terry,Canada
Sinji,Pac-Man,New York
NAKAT,Pichu,Ohio
Fatality,Captain Falcon,Georgia
Hungrybox,Jigglypuff,Florida
Prodigy,Mario,California
Raito,Duck Hunt,Japan
Nietono,Pichu,Japan
Abadango,Palutena,Japan
Mr. R,Chrom,Netherlands
Shogun,Snake,Japan
