plyr1,plyr2,depth,swinner,bracket_type,tname
MkLeo,Samsora,1,MkLeo,Winners,Super Smash Con 2019
MkLeo,Samsora,2,MkLeo,Winners,Super Smash Con 2019
Tweek,Samsora,3,Samsora,Winners,Super Smash Con 2019
Tweek,Marss,4,Tweek,Winners,Super Smash Con 2019
MkLeo,Samsora,4,Samsora,Winners,Super Smash Con 2019
MkLeo,Tweek,3,MkLeo,Losers,Super Smash Con 2019
MkLeo,Marss,4,MkLeo,Losers,Super Smash Con 2019
Maister,Marss,5,Marss,Losers,Super Smash Con 2019
MkLeo,Nairo,5,MkLeo,Losers,Super Smash Con 2019
Maister,Light,6,Maister,Losers,Super Smash Con 2019
Lui$,Nairo,6,Nairo,Losers,Super Smash Con 2019
MkLeo,VoiD,1,MkLeo,Winners,GENESIS 6
MkLeo,VoiD,2,MkLeo,Winners,GENESIS 6
Samsora,VoiD,3,VoiD,Winners,GENESIS 6
zackray,VoiD,4,VoiD,Winners,GENESIS 6
MkLeo,Samsora,4,Samsora,Winners,GENESIS 6
MkLeo,Samsora,3,MkLeo,Losers,GENESIS 6
MkLeo,Dabuz,4,MkLeo,Losers,GENESIS 6
MkLeo,Light,5,MkLeo,Losers,GENESIS 6
zackray,Dabuz,5,Dabuz,Losers,GENESIS 6
ESAM,Light,6,Light,Losers,GENESIS 6
Cosmos,Dabuz,6,Dabuz,Losers,GENESIS 6
MkLeo,Samsora,1,MkLeo,Winners,Smash 'N' Splash 5
MkLeo,Ally,2,MkLeo,Winners,Smash 'N' Splash 5
VoiD,Ally,3,Ally,Winners,Smash 'N' Splash 5
MkLeo,Marss,3,MkLeo,Winners,Smash 'N' Splash 5
Samsora,Ally,2,Samsora,Losers,Smash 'N' Splash 5
Samsora,Marss,3,Samsora,Losers,Smash 'N' Splash 5
Samsora,VoiD,4,Samsora,Losers,Smash 'N' Splash 5
Marss,Dabuz,4,Marss,Losers,Smash 'N' Splash 5
MkLeo,Tweek,1,Tweek,Winners,Frostbite 2019
MkLeo,Tweek,2,Tweek,Winners,Frostbite 2019
MkLeo,Myran,3,MkLeo,Winners,Frostbite 2019
Cosmos,Tweek,3,Tweek,Winners,Frostbite 2019
MkLeo,Myran,2,MkLeo,Losers,Frostbite 2019
Shuton,Myran,3,Myran,Losers,Frostbite 2019
Shuton,Cosmos,4,Shuton,Losers,Frostbite 2019
Light,Myran,4,Myran,Losers,Frostbite 2019
Nairo,Shuton,5,Shuton,Losers,Frostbite 2019
Light,MVD,5,Light,Losers,Frostbite 2019
zackray,Dabuz,1,zackray,Winners,The Big House 9
zackray,Dabuz,2,zackray,Winners,The Big House 9
Maister,Dabuz,3,Dabuz,Winners,The Big House 9
Nairo,Dabuz,4,Dabuz,Winners,The Big House 9
zackray,Maister,4,Maister,Winners,The Big House 9
zackray,Maister,3,zackray,Losers,The Big House 9
zackray,Nairo,4,zackray,Losers,The Big House 9
Samsora,Nairo,5,Nairo,Losers,The Big House 9
zackray,Tweek,5,zackray,Losers,The Big House 9
Samsora,RFang,6,Samsora,Losers,The Big House 9
Shuton,Tweek,6,Tweek,Losers,The Big House 9
MkLeo,Samsora,1,Samsora,Winners,Shine 2019
MkLeo,Samsora,2,MkLeo,Winners,Shine 2019
MkLeo,Samsora,3,Samsora,Winners,Shine 2019
MkLeo,Marss,4,MkLeo,Winners,Shine 2019
Dabuz,Samsora,4,Samsora,Winners,Shine 2019
MkLeo,Nairo,3,MkLeo,Losers,Shine 2019
Marss,Nairo,4,Nairo,Losers,Shine 2019
Marss,Dark Wizzy,5,Marss,Losers,Shine 2019
Dabuz,Nairo,5,Nairo,Losers,Shine 2019
Raffi-X,Dark Wizzy,6,Dark Wizzy,Losers,Shine 2019
Tweek,Nairo,6,Nairo,Losers,Shine 2019
Jakal,Dark Wizzy,7,Dark Wizzy,Losers,Shine 2019
Blacktwins13,Raffi-X,7,Raffi-X,Losers,Shine 2019
Nairo,LeoN,7,Nairo,Losers,Shine 2019
ESAM,Tweek,7,Tweek,Losers,Shine 2019
MkLeo,Tweek,1,MkLeo,Winners,EVO 2019
MkLeo,Tweek,2,MkLeo,Winners,EVO 2019
Glutonny,Tweek,3,Tweek,Winners,EVO 2019
Glutonny,Raito,4,Glutonny,Winners,EVO 2019
Samsora,Tweek,4,Tweek,Winners,EVO 2019
Glutonny,Kameme,5,Glutonny,Winners,EVO 2019
Dabuz,Raito,5,Raito,Winners,EVO 2019
Abadango,Tweek,5,Tweek,Winners,EVO 2019
Nietono,Samsora,5,Samsora,Winners,EVO 2019
MkLeo,Kameme,6,Kameme,Winners,EVO 2019
Glutonny,Shogun,6,Glutonny,Winners,EVO 2019
Shuton,Raito,6,Raito,Winners,EVO 2019
ProtoBanham,Tweek,6,Tweek,Winners,EVO 2019
Mr. R,Abadango,6,Abadango,Winners,EVO 2019
Marss,Nietono,6,Nietono,Winners,EVO 2019
Samsora,Light,6,Samsora,Winners,EVO 2019
MkLeo,Glutonny,3,MkLeo,Losers,EVO 2019
MkLeo,Samsora,4,MkLeo,Losers,EVO 2019
ProtoBanham,Samsora,5,Samsora,Losers,EVO 2019
MkLeo,Raito,5,MkLeo,Losers,EVO 2019
ProtoBanham,Light,6,ProtoBanham,Losers,EVO 2019
MkLeo,Raito,6,MkLeo,Losers,EVO 2019
Dabuz,Light,7,Light,Losers,EVO 2019
ProtoBanham,Kameme,7,ProtoBanham,Losers,EVO 2019
Nietono,zackray,7,zackray,Losers,EVO 2019
MkLeo,Abadango,7,MkLeo,Losers,EVO 2019
MkLeo,Tweek,1,MkLeo,Winners,MomoCon 2019
MkLeo,Tweek,2,MkLeo,Winners,MomoCon 2019
VoiD,Tweek,3,Tweek,Winners,MomoCon 2019
MkLeo,Marss,3,MkLeo,Winners,MomoCon 2019
Ally,Tweek,4,Tweek,Winners,MomoCon 2019
VoiD,Salem,4,VoiD,Winners,MomoCon 2019
Sinji,Marss,4,Marss,Winners,MomoCon 2019
MkLeo,Samsora,4,MkLeo,Winners,MomoCon 2019
